Etablissement;Année;Ville;Taux Brut de Réussite série L;Taux Brut de Réussite série ES;Taux Brut de Réussite série S;Académie
LYCEE CLAUDE MONET;2018;PARIS 13;100;98;99;PARIS
LYCEE DE NAVARRE (GENERAL ET TECHNO.);2014;ST JEAN PIED DE PORT;100;94;96;BORDEAUX
LYCEE SAINTE MARTHE CHAVAGNES;2018;ANGOULEME;;97;93;POITIERS
LYCEE MARIE IMMACULEE;2014;SEES;;88;94;CAEN
LYCEE CARNOT;2014;CANNES;95;82;90;NICE
LYCEE MASSENA;2014;NICE;96;95;94;NICE
LYCEE JEAN MONNET;2014;JOUE LES TOURS;100;87;93;ORLEANS-TOURS
LYCEE PAUL-LOUIS COURIER;2014;TOURS;93;90;87;ORLEANS-TOURS
LYCEE SAINT MEDARD INST N-D LA RICHE;2014;TOURS;83;95;100;ORLEANS-TOURS
LYCEE CAMILLE CLAUDEL;2014;BLOIS;90;89;88;ORLEANS-TOURS
LYCEE JEAN ZAY (GENERAL ET TECHNO.);2014;ORLEANS;98;93;96;ORLEANS-TOURS
LYCEE VOLTAIRE;2014;ORLEANS;96;90;93;ORLEANS-TOURS
LYCEE PAUL CLAUDEL;2014;PARIS 07;100;100;100;PARIS
LYCEE BOSSUET-NOTRE-DAME;2014;PARIS 10;100;100;100;PARIS
LYCEE ROCROY SAINT-VINCENT DE PAUL;2014;PARIS 10;100;100;100;PARIS
LYCEE VOLTAIRE;2014;PARIS 11;81;75;69;PARIS
ECOLE ACTIVE BILINGUE J.MANUEL;2014;PARIS 15;100;100;100;PARIS
LYCEE SAINT CHARLES;2014;THOUARS;;94;100;POITIERS
LYCEE NOTRE DAME DU MUR;2014;MORLAIX;100;95;98;RENNES
LYCEE AUGUSTE BRIZEUX;2014;QUIMPER;90;98;96;RENNES
LYCEE CHARLES RENOUVIER (GENERAL ET TECHNO.);2013;PRADES;100;74;93;MONTPELLIER
LYCEE JACQUES MARQUETTE;2013;PONT A MOUSSON;83;96;89;NANCY-METZ
LYCEE JEAN HANZELET (GENERAL ET TECHNO.);2013;PONT A MOUSSON;;;96;NANCY-METZ
LYCEE SAINTE CHRETIENNE;2013;SARREGUEMINES;80;100;83;NANCY-METZ
LYCEE LA HERDRIE;2013;BASSE GOULAINE;100;100;100;NANTES
LYCEE ND D'ESPERANCE;2013;ST NAZAIRE;100;98;96;NANTES
LYCEE SAINT AUBIN LA SALLE (GENERAL ET TECHNO.);2013;ST SYLVAIN D ANJOU;100;100;94;NANTES
LYCEE ALFRED KASTLER - GUITTON (GENERAL ET TECHNO.);2013;LA ROCHE SUR YON;;94;97;NANTES
LYCEE GUILLAUME APOLLINAIRE;2013;NICE;83;71;85;NICE
LYCEE PARC IMPERIAL;2013;NICE;95;92;92;NICE
INSTITUTION ST JOSEPH CARNOLES (GENERAL ET TECHNO.);2013;ROQUEBRUNE CAP MARTIN;100;95;100;NICE
LYCEE RAYNOUARD (GENERAL ET TECHNO.);2013;BRIGNOLES;95;94;89;NICE
LYCEE SAINTE JEANNE D ARC (GENERAL ET TECHNO.);2013;BRIGNOLES;100;96;100;NICE
LYCEE JACQUES COEUR;2013;BOURGES;;85;93;ORLEANS-TOURS
LYCEE STE MARIE ST DOMINIQUE;2013;BOURGES;95;96;92;ORLEANS-TOURS
LYCEE DUHAMEL DU MONCEAU;2013;PITHIVIERS;100;97;87;ORLEANS-TOURS
LYCEE NOTRE-DAME DE SION;2013;PARIS 06;100;100;100;PARIS
LYCEE VICTOR DURUY;2013;PARIS 07;98;100;97;PARIS
LYCEE ELISA LEMONNIER (GENERAL ET TECHNO.);2013;PARIS 12;;90;;PARIS
LYCEE PIERRE-GILLES DE GENNES-ENCPB;2013;PARIS 13;;;91;PARIS
LYCEE AUTOGERE;2013;PARIS 15;39;22;25;PARIS
LYCEE DIDEROT (GENERAL ET TECHNO.);2013;PARIS 19;;;74;PARIS
LYCEE SAINTE MARTHE CHAVAGNES;2013;ANGOULEME;;87;;POITIERS
LYCEE LEONCE VIELJEUX;2013;LA ROCHELLE;;94;94;POITIERS
LYCEE LOUIS PASTEUR;2014;STRASBOURG;94;99;90;STRASBOURG
INSTITUTION DON BOSCO;2014;WITTENHEIM;;;;STRASBOURG
LYCEE NOTRE-DAME;2014;PAMIERS;100;86;100;TOULOUSE
LYCEE SAINT-EXUPERY (GENERAL ET TECHNO.);2014;BLAGNAC;94;87;99;TOULOUSE
LYCEE VINCENT AURIOL;2014;REVEL;85;88;96;TOULOUSE
LYCEE MARCELIN BERTHELOT;2014;TOULOUSE;95;87;96;TOULOUSE
LYCEE HENRI POINCARE (GENERAL ET TECHNO.);2014;PALAISEAU;;86;73;VERSAILLES
LYCEE DESCARTES;2014;ANTONY;86;96;96;VERSAILLES
LYCEE MICHELET;2014;VANVES;94;99;93;VERSAILLES
LYCEE TOULOUSE LAUTREC;2014;VAUCRESSON;50;100;88;VERSAILLES
LYCEE SAINT MARTIN DE FRANCE;2014;PONTOISE;87;88;86;VERSAILLES
LYCEE FRANCO ALLEMAND;2014;BUC;100;100;100;VERSAILLES
LYCEE BLANCHE DE CASTILLE;2014;LE CHESNAY;100;100;99;VERSAILLES
LYCEE LES SEPT MARES;2014;MAUREPAS;75;94;86;VERSAILLES
LYCEE MANSART;2014;ST CYR L ECOLE;96;92;92;VERSAILLES
LYCEE PAUL ARENE (GENERAL ET TECHNO.);2015;SISTERON;62;81;96;AIX-MARSEILLE
LYCEE PAUL CEZANNE;2015;AIX EN PROVENCE;93;90;93;AIX-MARSEILLE
LYCEE MARCEL PAGNOL;2015;MARSEILLE 10;79;86;82;AIX-MARSEILLE
LYCEE ASSOMPTION - STE CLOTILDE;2016;BORDEAUX;95;99;100;BORDEAUX
LYCEE BIOLOGIE ET CHIMIE ST LOUIS;2016;BORDEAUX;;;;BORDEAUX
LYCEE MONTESQUIEU;2016;LIBOURNE;94;100;97;BORDEAUX
LYCEE JEAN BAPTISTE DE BAUDRE;2016;AGEN;;100;88;BORDEAUX
LYCEE LE BEAU RAMEAU LESTELLE BETHAR;2016;LESTELLE BETHARRAM;;80;90;BORDEAUX
LYCEE CHARLES A COULOMB;2016;ANGOULEME;;100;94;POITIERS
LYCEE EMILE ROUX (GENERAL ET TECHNO.);2016;CONFOLENS;100;96;95;POITIERS
LYCEE JEAN VILAR;2016;VILLENEUVE LES AVIGNON;89;86;88;MONTPELLIER
LYCEE FERDINAND FABRE;2016;BEDARIEUX;100;75;98;MONTPELLIER
LYCEE CHAPTAL;2016;MENDE;97;97;95;MONTPELLIER
LYCEE LES JACOBINS;2016;PAMIERS;;;;TOULOUSE
LYCEE INTERNATIONAL VICTOR HUGO;2016;COLOMIERS;96;98;97;TOULOUSE
LYCEE STEPHANE HESSEL;2016;TOULOUSE;92;84;93;TOULOUSE
LYCEE PEYRAMALE SAINT-JOSEPH;2016;LOURDES;95;100;100;TOULOUSE
LYCEE VALERY LARBAUD (GENERAL ET TECHNO.);2016;CUSSET;;;;CLERMONT-FERRAND
LYCEE SAINTE-LOUISE;2016;MONTLUCON;60;85;100;CLERMONT-FERRAND
LYCEE LA PRESENTATION;2016;ST FLOUR;;92;88;CLERMONT-FERRAND
LYCEE ANNE MARIE MARTEL (GENERAL ET TECHNO.);2016;LE PUY EN VELAY;;;;CLERMONT-FERRAND
LYCEE EMILE ZOLA;2016;CHATEAUDUN;84;98;92;ORLEANS-TOURS
LYCEE GEORGE SAND (GENERAL ET TECHNO.);2016;LA CHATRE;94;80;94;ORLEANS-TOURS
LYCEE CLAUDE DE FRANCE;2016;ROMORANTIN LANTHENAY;93;87;93;ORLEANS-TOURS
LYCEE POTHIER;2016;ORLEANS;88;88;83;ORLEANS-TOURS
LYCEE RAYMOND LOEWY;2016;LA SOUTERRAINE;94;83;84;LIMOGES
LYCEE ITEC BOISFLEURY EUROPE;2013;LA TRONCHE;100;100;100;GRENOBLE
LYCEE SAINT MARC (GENERAL ET TECHNO.);2013;NIVOLAS VERMELLE;100;98;99;GRENOBLE
LYCEE RAOUL GEORGES NICOLO (GENERAL ET TECHNO.);2013;BASSE TERRE;;67;83;GUADELOUPE
LYCEE LEON-GONTRAN DAMAS;2013;CAYENNE;90;73;85;GUYANE
LYCEE FONDATION DEPOORTER;2013;HAZEBROUCK;;;;LILLE
LYCEE SAINT JOSEPH;2013;HAZEBROUCK;;;;LILLE
LYCEE SAINT VAAST-SAINT DOMINIQUE;2013;BETHUNE;100;100;96;LILLE
LYCEE MARIETTE;2013;BOULOGNE SUR MER;93;91;89;LILLE
LYCEE LOUIS PASTEUR (GENERAL ET TECHNO.);2013;HENIN BEAUMONT;;65;90;LILLE
LYCEE HENRI DARRAS;2013;LIEVIN;82;81;92;LILLE
LYCEE XAVIER BICHAT (GENERAL ET TECHNO.);2013;NANTUA;83;95;94;LYON
LYCEE DU FOREZ;2013;FEURS;92;94;97;LYON
LYCEE GEORGES BRASSENS (GENERAL ET TECHNO.);2013;RIVE DE GIER;83;100;96;LYON
LYCEE LA FAVORITE SAINTE THERESE;2013;LYON 05;100;100;98;LYON
LYCEE JOSEPH GAILLARD;2013;FORT DE FRANCE;;77;83;MARTINIQUE
LYCEE LA MERCI LITTORAL (GENERAL ET TECHNO.);2013;LA GRANDE MOTTE;;100;90;MONTPELLIER
LYCEE SANTE SANIT SOC JEAN JAURES (GENERAL ET TECHNO.);2013;ST CLEMENT DE RIVIERE;93;96;93;MONTPELLIER
LYCEE PIERRE BAYLE;2013;SEDAN;100;85;84;REIMS
LYCEE ST BERNARD;2013;TROYES;76;97;93;REIMS
LYCEE ST JOSEPH;2013;REIMS;;100;99;REIMS
LYCEE FRANCOIS 1ER;2013;VITRY LE FRANCOIS;88;92;95;REIMS
LYCEE EUGENE FREYSSINET;2013;ST BRIEUC;67;92;91;RENNES
LYCEE ST CHARLES;2013;ST BRIEUC;100;96;99;RENNES
LYCEE GEORGES DUMEZIL;2013;VERNON;93;91;94;ROUEN
LYCEE VALLEE DU CAILLY;2013;DEVILLE LES ROUEN;83;82;86;ROUEN
LYCEE GUSTAVE FLAUBERT;2013;ROUEN;97;97;95;ROUEN
LYCEE MARGUERITE YOURCENAR (GENERAL ET TECHNO.);2013;ERSTEIN;100;100;98;STRASBOURG
LYCEE LAVOISIER (GENERAL ET TECHNO.);2013;MULHOUSE;;92;91;STRASBOURG
LYCEE BLAISE PASCAL;2016;LONGUENESSE;;;97;LILLE
LYCEE SAINT REMY;2016;SOISSONS;100;92;98;AMIENS
LYCEE JULES UHRY;2016;CREIL;82;79;59;AMIENS
LYCEE LAMARCK (GENERAL ET TECHNO.);2016;ALBERT;76;88;77;AMIENS
LYCEE EDOUARD BRANLY;2016;AMIENS;;;97;AMIENS
LYCEE JEANNE D ARC;2016;ARGENTAN;100;93;90;CAEN
LYCEE JEAN GUEHENNO (GENERAL ET TECHNO.);2016;FLERS;94;91;90;CAEN
LYCEE MARC BLOCH;2016;VAL DE REUIL;89;94;93;ROUEN
LYCEE ST PIERRE;2016;ST BRIEUC;95;100;98;RENNES
LYCEE JOSEPH SAVINA;2016;TREGUIER;92;;87;RENNES
LYCEE JEAN MOULIN;2016;CHATEAULIN;92;93;94;RENNES
LYCEE MARIE LE FRANC;2016;LORIENT;;;;RENNES
LYCEE NOTRE DAME LE MENIMUR;2016;VANNES;;94;;RENNES
LYCEE CAMILLE CLAUDEL;2016;BLAIN;96;95;94;NANTES
LYCEE LA MENNAIS;2016;GUERANDE;94;96;96;NANTES
LYCEE JEAN MOULIN (GENERAL ET TECHNO.);2016;ANGERS;;;93;NANTES
LYCEE STE URSULE (GENERAL ET TECHNO.);2016;LUCON;100;98;98;NANTES
LYCEE SIMONE SIGNORET (GENERAL ET TECHNO.);2012;VAUX LE PENIL;76;81;97;CRETEIL
LYCEE HENRI WALLON;2012;AUBERVILLIERS;64;62;68;CRETEIL
LYCEE GERARD DE NERVAL (GENERAL ET TECHNO.);2012;NOISIEL;94;84;90;CRETEIL
LYCEE LEONARD DE VINCI (GENERAL ET TECHNO.);2015;SOISSONS;;100;78;AMIENS
LYCEE JEAN BOUIN (GENERAL ET TECHNO.);2015;ST QUENTIN;;;;AMIENS
LYCEE SAINT ESPRIT;2015;BEAUVAIS;100;100;99;AMIENS
LYCEE ETIENNE BEZOUT (GENERAL ET TECHNO.);2014;NEMOURS;91;92;85;CRETEIL
LYCEE CHARLES LE CHAUVE;2014;ROISSY EN BRIE;95;90;91;CRETEIL
LYCEE PIERRE MENDES-FRANCE;2014;SAVIGNY LE TEMPLE;70;78;76;CRETEIL
LYCEE VOILLAUME;2014;AULNAY SOUS BOIS;77;86;87;CRETEIL
LYCEE JACQUES FEYDER;2014;EPINAY SUR SEINE;65;73;71;CRETEIL
LYCEE HENRI SELLIER (GENERAL ET TECHNO.);2014;LIVRY GARGAN;;;;CRETEIL
LYCEE ROBERT SCHUMAN (GENERAL ET TECHNO.);2014;CHARENTON LE PONT;100;88;96;CRETEIL
LYCEE ROMAIN ROLLAND;2014;IVRY SUR SEINE;87;92;88;CRETEIL
LYCEE STEPHEN LIEGEARD;2014;BROCHON;97;96;95;DIJON
LYCEE MAURICE GENEVOIX (GENERAL ET TECHNO.);2014;DECIZE;100;100;95;DIJON
LYCEE LOUIS DAVIER (GENERAL ET TECHNO.);2014;JOIGNY;92;95;94;DIJON
LYCEE PRESENTATION DE MARIE;2014;ST J. EN GENEVOIS;100;100;100;GRENOBLE
LYCEE HYACINTHE BASTARAUD (GENERAL ET TECHNO.);2014;GRAND BOURG;100;66;93;GUADELOUPE
LYCEE LEOPOLD ELFORT (GENERAL ET TECHNO.);2014;MANA;94;90;85;GUYANE
LYCEE LAMA PREVOT (GENERAL ET TECHNO.);2014;REMIRE MONTJOLY;94;81;89;GUYANE
LYCEE DU PAYS DE CONDE (GENERAL ET TECHNO.);2014;CONDE SUR L ESCAUT;91;74;80;LILLE
LYCEE PRIVE DE GENECH;2014;GENECH;;100;99;LILLE
LYCEE VALENTINE LABBE (GENERAL ET TECHNO.);2014;LA MADELEINE;;71;90;LILLE
LYCEE JAN LAVEZZARI (GENERAL ET TECHNO.);2014;BERCK;100;77;97;LILLE
LYCEE LEONARD LIMOSIN;2014;LIMOGES;97;82;94;LIMOGES
LYCEE JEAN MONNET;2014;ST ETIENNE;73;72;89;LYON
LYCEE AIGUERANDE (GENERAL ET TECHNO.);2014;BELLEVILLE;97;90;91;LYON
LYCEE SAINT THOMAS D'AQUIN VERITAS;2014;OULLINS;100;100;100;LYON
LYCEE VICTOR SCHOELCHER;2014;FORT DE FRANCE;90;94;93;MARTINIQUE
LYCEE ACAJOU 2 (GENERAL ET TECHNO.);2014;LE LAMENTIN;96;87;96;MARTINIQUE
LYCEE NORD ATLANTIQUE (GENERAL ET TECHNO.);2014;STE MARIE;78;81;85;MARTINIQUE
LYCEE DOCTEUR LACROIX;2014;NARBONNE;86;97;91;MONTPELLIER
LYCEE ST VINCENT DE PAUL;2014;NIMES;91;95;;MONTPELLIER
LYCEE LOUIS FEUILLADE (GENERAL ET TECHNO.);2014;LUNEL;89;84;87;MONTPELLIER
LYCEE INTERNAT D'EXCELLENCE;2014;MONTPELLIER;100;42;65;MONTPELLIER
LYCEE ALFRED KASTLER (GENERAL ET TECHNO.);2014;STENAY;100;100;94;NANCY-METZ
LYCEE LA HERDRIE;2014;BASSE GOULAINE;100;100;98;NANTES
LYCEE LES BOURDONNIERES (GENERAL ET TECHNO.);2014;NANTES;96;92;90;NANTES
LYCEE SACRE COEUR (GENERAL ET TECHNO.);2014;NANTES;100;73;71;NANTES
LYCEE ARISTIDE BRIAND;2014;ST NAZAIRE;95;97;96;NANTES
LYCEE LAVOISIER;2014;MAYENNE;100;98;93;NANTES
LYCEE PAUL SCARRON;2014;SILLE LE GUILLAUME;89;100;98;NANTES
LYCEE JOSEPH ZOBEL (GENERAL ET TECHNO.);2015;RIVIERE SALEE;100;98;99;MARTINIQUE
LYCEE DU NORD (GENERAL ET TECHNO.);2015;ACOUA;56;57;70;MAYOTTE
LYCEE BELLEVUE;2015;ALES;97;100;94;MONTPELLIER
LYCEE NOTRE-DAME (GENERAL ET TECHNO.);2015;MENDE;100;88;96;MONTPELLIER
LYCEE ALFRED MEZIERES (GENERAL ET TECHNO.);2015;LONGWY;74;90;88;NANCY-METZ
LYCEE JEANNE D'ARC;2015;NANCY;98;88;93;NANCY-METZ
LYCEE NOTRE DAME SAINT SIGISBERT;2015;NANCY;100;97;98;NANCY-METZ
LYCEE FABERT;2015;METZ;98;98;94;NANCY-METZ
LYCEE ERCKMANN CHATRIAN;2015;PHALSBOURG;100;86;86;NANCY-METZ
LYCEE CONDORCET (GENERAL ET TECHNO.);2015;SCHOENECK;;;89;NANCY-METZ
LYCEE JEAN LURCAT;2015;BRUYERES;86;98;94;NANCY-METZ
LYCEE LA HAIE GRISELLE;2015;GERARDMER;100;90;92;NANCY-METZ
LYCEE JEAN-BAPTISTE VUILLAUME;2015;MIRECOURT;89;85;91;NANCY-METZ
LYCEE GEORGES BAUMONT (GENERAL ET TECHNO.);2015;ST DIE DES VOSGES;;;99;NANCY-METZ
LYCEE JULES FERRY;2015;ST DIE DES VOSGES;95;98;93;NANCY-METZ
LYCEE ND DE TOUTES AIDES;2015;NANTES;100;100;99;NANTES
LYCEE ND DE BONNES NOUVELLES;2015;BEAUPREAU;100;100;99;NANTES
LYCEE BOURG CHEVREAU (GENERAL ET TECHNO.);2015;SEGRE;100;100;94;NANTES
LYCEE DON BOSCO;2015;MAYENNE;100;100;100;NANTES
LYCEE FRANCOIS RABELAIS (GENERAL ET TECHNO.);2015;FONTENAY LE COMTE;95;98;94;NANTES
LYCEE STE MARIE DU PORT (GENERAL ET TECHNO.);2015;LES SABLES D OLONNE;100;97;94;NANTES
LYCEE DU COUDON;2015;LA GARDE;92;84;90;NICE
LYCEE DU VAL D'ARGENS (GENERAL ET TECHNO.);2015;LE MUY;93;89;94;NICE
LYCEE STANISLAS;2015;ST RAPHAEL;100;100;100;NICE
LYCEE DUMONT D URVILLE;2015;TOULON;97;85;91;NICE
LYCEE EDOUARD BRANLY (GENERAL ET TECHNO.);2015;DREUX;94;98;93;ORLEANS-TOURS
LYCEE ROTROU;2015;DREUX;87;88;76;ORLEANS-TOURS
LYCEE JEAN MONNET;2015;JOUE LES TOURS;98;94;93;ORLEANS-TOURS
LYCEE FRANCOIS VILLON;2015;BEAUGENCY;94;95;97;ORLEANS-TOURS
LYCEE SAINTE-GENEVIEVE;2015;PARIS 06;100;96;100;PARIS
LYCEE EDGAR POE;2015;PARIS 10;100;100;100;PARIS
LYCEE ROCROY SAINT-VINCENT DE PAUL;2015;PARIS 10;100;100;100;PARIS
LYCEE ARAGO;2015;PARIS 12;;96;91;PARIS
LYCEE PASCAL;2015;PARIS 16;100;100;100;PARIS
LYCEE AUGUSTE RENOIR;2015;PARIS 18;;;;PARIS
LYCEE N'R HATORAH;2015;PARIS 19;;100;100;PARIS
LYCEE SAINT PAUL;2015;ANGOULEME;100;100;100;POITIERS
LYCEE DE LA MER ET DU LITTORAL;2015;BOURCEFRANC LE CHAPUS;;89;97;POITIERS
LYCEE ST JOSEPH;2015;REIMS;;100;100;REIMS
LYCEE FELIX LE DANTEC;2015;LANNION;94;91;95;RENNES
LYCEE ESTRAN CHARLES DE FOUCAULD;2015;BREST;96;94;100;RENNES
LYCEE RENE CASSIN;2015;MONTFORT SUR MEU;95;97;91;RENNES
LYCEE ST MARTIN;2015;RENNES;100;99;98;RENNES
LYCEE MARC BLOCH;2015;VAL DE REUIL;89;94;96;ROUEN
LYCEE BLAISE PASCAL (GENERAL ET TECHNO.);2015;ROUEN;;;90;ROUEN
LYCEE JEAN MONNET;2015;STRASBOURG;85;86;79;STRASBOURG
LYCEE ORT MAURICE GRYNFOGEL;2015;COLOMIERS;;;;TOULOUSE
LYCEE MARCELIN BERTHELOT;2015;TOULOUSE;95;77;97;TOULOUSE
LYCEE BORDE BASSE;2015;CASTRES;80;85;88;TOULOUSE
LYCEE JEANNE D'ARC;2015;MAZAMET;89;92;96;TOULOUSE
LYCEE CLAUDE NOUGARO;2015;MONTEILS;91;90;89;TOULOUSE
LYCEE SAINT CHARLES;2018;CHAUNY;;88;83;AMIENS
LYCEE HENRI MARTIN;2018;ST QUENTIN;87;85;74;AMIENS
LYCEE LAMARCK (GENERAL ET TECHNO.);2018;ALBERT;83;90;93;AMIENS
LYCEE JULES HAAG (GENERAL ET TECHNO.);2018;BESANCON;;94;92;BESANCON
LYCEE JACQUES DUHAMEL (GENERAL ET TECHNO.);2018;DOLE;;73;92;BESANCON
LYCEE JEAN MOULIN;2018;LANGON;93;94;91;BORDEAUX
LYCEE SAINTE URSULE;2018;CAEN;;;;CAEN
INSTITUT SAINT-LO;2018;AGNEAUX;100;100;100;CAEN
LYCEE SAINT JULIEN (GENERAL ET TECHNO.);2018;BRIOUDE;75;100;91;CLERMONT-FERRAND
LYCEE SIDOINE APOLLINAIRE;2018;CLERMONT FERRAND;;;;CLERMONT-FERRAND
LYCEE GALILEE;2018;COMBS LA VILLE;100;94;94;CRETEIL
LYCEE CLEMENT ADER (GENERAL ET TECHNO.);2018;TOURNAN EN BRIE;90;89;93;CRETEIL
LYCEE JEAN RENOIR;2018;BONDY;94;93;86;CRETEIL
LYCEE PAUL ROBERT (GENERAL ET TECHNO.);2018;LES LILAS;68;91;83;CRETEIL
LYCEE LOUIS ARMAND (GENERAL ET TECHNO.);2018;NOGENT SUR MARNE;;;75;CRETEIL
LYCEE GREGOR MENDEL;2018;VINCENNES;;;77;CRETEIL
LYCEE CARNOT;2018;DIJON;100;97;93;DIJON
LYCEE DE LA CERAMIQUE HENRY MOISAND (GENERAL ET TECHNO.);2018;LONGCHAMP;;;;DIJON
LYCEE PIERRE LAROUSSE;2018;TOUCY;83;76;78;DIJON
LYCEE EDOUARD HERRIOT (GENERAL ET TECHNO.);2018;VOIRON;92;90;97;GRENOBLE
LYCEE LOUIS ARMAND (GENERAL ET TECHNO.);2018;CHAMBERY;76;84;94;GRENOBLE
LYCEE NORD GRANDE TERRE (GENERAL ET TECHNO.);2018;PORT LOUIS;100;81;97;GUADELOUPE
LYCEE ANTOINE DE SAINT-EXUPERY (GENERAL ET TECHNO.);2018;LES AVIRONS;93;96;97;LA REUNION
LYCEE SARDA GARRIGA;2018;ST ANDRE;94;93;93;LA REUNION
LYCEE CAMILLE CLAUDEL (GENERAL ET TECHNO.);2018;FOURMIES;89;;90;LILLE
LYCEE DE GENECH;2018;GENECH;;96;100;LILLE
LYCEE ANDRE LURCAT (GENERAL ET TECHNO.);2018;MAUBEUGE;;80;71;LILLE
LYCEE SACRE COEUR;2018;TOURCOING;100;99;96;LILLE
LYCEE NOTRE-DAME DE SION;2018;ST OMER;93;100;93;LILLE
LYCEE D ARSONVAL;2018;BRIVE LA GAILLARDE;84;86;94;LIMOGES
LYCEE SUZANNE VALADON (GENERAL ET TECHNO.);2018;LIMOGES;83;84;79;LIMOGES
COURS SECONDAIRE;2015;ORSAY;100;100;100;VERSAILLES
LYCEE SAINTE GENEVIEVE;2015;ASNIERES SUR SEINE;100;100;99;VERSAILLES
LYCEE SAINT THOMAS DE VILLENEUVE;2015;CHAVILLE;93;100;100;VERSAILLES
LYCEE TOULOUSE LAUTREC;2015;VAUCRESSON;100;73;90;VERSAILLES
LYCEE JULIE-VICTOIRE DAUBIE;2015;ARGENTEUIL;95;94;90;VERSAILLES
LYCEE ALFRED KASTLER;2015;CERGY PONTOISE;85;96;86;VERSAILLES
LYCEE PAUL RICOEUR;2015;LOUVRES;80;81;56;VERSAILLES
LYCEE O R T (GENERAL ET TECHNO.);2015;VILLIERS LE BEL;;100;100;VERSAILLES
LYCEE DE VILLAROY;2015;GUYANCOURT;86;88;94;VERSAILLES
LYCEE BLANCHE DE CASTILLE;2015;LE CHESNAY;100;100;100;VERSAILLES
LYCEE HOTELIER REGIONAL (GENERAL ET TECHNO.);2016;MARSEILLE 08;;;;AIX-MARSEILLE
LYCEE PERIER;2016;MARSEILLE 08;91;90;87;AIX-MARSEILLE
LYCEE NOTRE DAME DE LA VISTE;2016;MARSEILLE 15;100;100;91;AIX-MARSEILLE
LYCEE ALPHONSE DAUDET;2016;TARASCON;89;84;95;AIX-MARSEILLE
LYCEE PIERRE MENDES FRANCE (GENERAL ET TECHNO.);2016;VITROLLES;98;87;84;AIX-MARSEILLE
LYCEE FREDERIC MISTRAL;2016;AVIGNON;84;88;84;AIX-MARSEILLE
LYCEE MARIE PILA;2016;CARPENTRAS;93;93;96;AIX-MARSEILLE
LYCEE JEAN AICARD;2016;HYERES;97;89;86;NICE
LYCEE BEAUSSIER;2016;LA SEYNE SUR MER;82;88;84;NICE
LYCEE PAUL LANGEVIN (GENERAL ET TECHNO.);2016;LA SEYNE SUR MER;97;78;93;NICE
LYCEE MAURICE JANETTI (GENERAL ET TECHNO.);2016;ST MAXIMIN LA STE BAUME;93;95;97;NICE
PENSIONNAT JEANNE D ARC;2016;BASTIA;100;100;98;CORSE
LYCEE SACRE COEUR  NOTRE DAME;2016;PRIVAS;100;100;97;GRENOBLE
LYCEE SAINT VICTOR;2016;VALENCE;100;97;100;GRENOBLE
LYCEE LA PLEIADE;2016;PONT DE CHERUY;100;89;91;GRENOBLE
LYCEE ARISTIDE BERGES;2016;SEYSSINET PARISET;93;96;93;GRENOBLE
LYCEE ANNA DE NOAILLES (GENERAL ET TECHNO.);2016;EVIAN LES BAINS;96;95;96;GRENOBLE
LYCEE DE L'ALBANAIS;2016;RUMILLY;93;98;98;GRENOBLE
LYCEE DE LA PLAINE DE L'AIN;2016;AMBERIEU EN BUGEY;96;88;96;LYON
LYCEE DE LA COTIERE;2016;LA BOISSE;88;91;93;LYON
LYCEE ALBERT CAMUS;2016;FIRMINY;84;94;83;LYON
LYCEE NOTRE DAME DES MINIMES;2016;LYON 05;100;100;100;LYON
LYCEE LOUIS PASTEUR;2016;BESANCON;94;90;96;BESANCON
LYCEE PAUL EMILE VICTOR (GENERAL ET TECHNO.);2016;CHAMPAGNOLE;96;85;93;BESANCON
LYCEE PASTEUR MONT ROLAND (GENERAL ET TECHNO.);2016;DOLE;86;88;78;BESANCON
LYCEE HYACINTHE FRIANT (GENERAL ET TECHNO.);2016;POLIGNY;;95;80;BESANCON
LYCEE RAOUL FOLLEREAU;2016;BELFORT;;74;83;BESANCON
LYCEE LES MARCS D'OR (GENERAL ET TECHNO.);2016;DIJON;;;;DIJON
LYCEE JULES RENARD;2016;NEVERS;92;;93;DIJON
LYCEE BAZEILLES (GENERAL ET TECHNO.);2016;SEDAN;;;;REIMS
LYCEE GASTON BACHELARD (GENERAL ET TECHNO.);2016;BAR SUR AUBE;74;92;96;REIMS
LYCEE ETIENNE OEHMICHEN (GENERAL ET TECHNO.);2016;CHALONS EN CHAMPAGNE;;;77;REIMS
LYCEE CHARLES DE GAULLE (GENERAL ET TECHNO.);2016;CHAUMONT;;;97;REIMS
LYCEE OUDINOT;2016;CHAUMONT;;92;93;REIMS
LYCEE ST EXUPERY;2016;ST DIZIER;100;77;60;REIMS
LYCEE LOUIS MAJORELLE;2016;TOUL;100;95;99;NANCY-METZ
LYCEE SAINT LOUIS;2016;BAR LE DUC;100;91;98;NANCY-METZ
LYCEE SAINTE ANNE;2016;VERDUN;100;94;89;NANCY-METZ
LYCEE HOTELIER RAYMOND MONDON (GENERAL ET TECHNO.);2016;METZ;;;;NANCY-METZ
LYCEE SAINTE CHRETIENNE;2016;ST AVOLD;;;;NANCY-METZ
LYCEE MARGUERITE YOURCENAR (GENERAL ET TECHNO.);2016;ERSTEIN;97;98;97;STRASBOURG
INSTITUTION SAINTE CLOTILDE;2016;STRASBOURG;;90;88;STRASBOURG
